Keyword	Mark
['intel', 'hd', 'p4000']	516
['intel', 'hd', 'p4600']	604
['intel', 'hd', 'p4600/p4700']	674
['intel', 'hd', 'p530']	1062
['intel', 'hd', 'p630']	1741
['intel', 'infoshock', 'hd']	193
['intel', 'iris', '5100']	748
['intel', 'iris', '540']	1343
['intel', 'iris', '550']	1583
['intel', 'iris', '6100']	977
['intel', 'iris', 'plus']	1694
['intel', 'iris', 'plus', '640']	1417
['intel', 'iris', 'plus', '645']	2145
['intel', 'iris', 'plus', '650']	1579
['intel', 'iris', 'plus', '655']	1972
['intel', 'iris', 'pro', '5200']	1172
['intel', 'iris', 'pro', '580']	1881
['intel', 'iris', 'pro', 'graphics', '6200']	1545
['intel', 'iris', 'pro', 'p580']	2156
['intel', 'iris', 'pro', 'p6300']	1209
['intel', 'media', 'accelerator']	32
['intel', 'media', 'accelerator', '3150']	3
['intel', 'media', 'accelerator', '500']	3
['intel', 'media', 'accelerator', '600']	6
['intel', 'media', 'accelerator', 'hd']	116
['intel', 'q33', 'express']	10
['intel', 'q35', 'express']	9
['intel', 'q45/q43', 'express', 'chipset']	66
['intel', 'q45/q43', 'express-chipsatz']	57
['intel', 'q965/q963', 'express']	6
['intel', 'skylake', 'hd', 'dt', 'gt2']	576
['intel', 'uhd']	1273
['intel', 'uhd', '600']	363
['intel', 'uhd', '605']	426
['intel', 'uhd', '610']	800
['intel', 'uhd', '615']	786
['intel', 'uhd', '617']	878
['intel', 'uhd', '630']	1360
['intel', 'uhd', 'graphics', '620']	1072
['intel', 'uhd', 'p630']	1394
['intel', 'us15', 'embedded', 'media', 'and', 'controller']	7
['ion']	97
['ion', 'le']	97
['m860g', 'with', 'mobility', 'radeon', '4100']	75
['m880g', 'with', 'mobility', 'radeon', 'hd', '4200']	92
['m880g', 'with', 'mobility', 'radeon', 'hd', '4225']	71
['m880g', 'with', 'mobility', 'radeon', 'hd', '4250']	104
['matrox', 'c420', 'lp', 'pcie', 'x16']	635
['matrox', 'c680', 'pcie', 'x16']	1977
['matrox', 'c900', 'pcie', 'x16']	1812
['matrox', 'g200e', 'wddm', '1.2']	59
['matrox', 'g200eh']	40
['matrox', 'g200eh', 'wddm', '1.2']	51
['matrox', 'g200er']	36
['matrox', 'g200er', 'wddm', '1.2']	67
['matrox', 'g200er', 'wddm', '2.0']	67
['matrox', 'g200ew']	42
['matrox', 'g200ew', 'wddm', '1.2']	50
['matrox', 'm9138', 'lp', 'pcie', 'x16']	32
['matrox', 'm9140', 'lp', 'pcie', 'x16']	23
['matrox', 'm9148', 'lp', 'pcie', 'x16']	9
['matrox', 'millennium', 'p650', 'pcie', '128']	5
['matrox', 'millennium', 'p690', 'pcie', 'x16']	10
['matrox', 'millennium', 'p690', 'plus', 'lp', 'pcie', 'x16']	6
['matrox', 'parhelia', 'apve']	5
['medion', 'radeon', 'x740xl']	94
['mobile', 'intel', '-', 'famiglia', 'express', 'chipset', '45']	38
['mobile', 'intel', '4', 'express-chipsatzfamilie']	44
['mobile', 'intel', '45', 'express']	43
['mobile', 'intel', '45', 'express-chipsatzfamilie']	117
['mobile', 'intel', '915gm/gms/910gml', 'express']	4
['mobile', 'intel', '945', 'express']	4
['mobile', 'intel', '945gm', 'express']	5
['mobile', 'intel', '945gm/gu', 'express']	5
['mobile', 'intel', '965', 'express']	20
['mobile', 'intel', '965', 'express-chipsatzfamilie']	24
['mobile', 'intel', 'hd']	409
['mobile', 'intel', 'serie', '4', 'express']	44
['mobility', 'firegl', 't2']	40
['mobility', 'firegl', 't2/t2e']	33
['mobility', 'firegl', 'v3200']	62
['mobility', 'firegl', 'v5000']	81
['mobility', 'firegl', 'v5200']	44
['mobility', 'firegl', 'v5250']	27
['mobility', 'firegl', 'v5725']	219
['mobility', 'radeon', '4100']	81
['mobility', 'radeon', '7000', 'igp']	6
['mobility', 'radeon', '7500']	3
['mobility', 'radeon', '9000']	3
['mobility', 'radeon', '9000', 'igp']	7
['mobility', 'radeon', '9000/9100', 'igp']	5
['mobility', 'radeon', '9100', 'igp']	2
['mobility', 'radeon', '9200']	3
['mobility', 'radeon', '9600', 'pro', 'turbo']	24
['mobility', 'radeon', '9600/9700']	39
['mobility', 'radeon', '9700']	27
['mobility', 'radeon', '9800']	46
['mobility', 'radeon', 'hd', '2300']	50
['mobility', 'radeon', 'hd', '2400']	89
['mobility', 'radeon', 'hd', '2400', 'xt']	102
['mobility', 'radeon', 'hd', '2600']	167
['mobility', 'radeon', 'hd', '2600', 'xt']	191
['mobility', 'radeon', 'hd', '3410']	62
['mobility', 'radeon', 'hd', '3430']	98
['mobility', 'radeon', 'hd', '3450']	91
['mobility', 'radeon', 'hd', '3470']	93
['mobility', 'radeon', 'hd', '3470', 'hybrid', 'x2']	93
['mobility', 'radeon', 'hd', '3650']	209
['mobility', 'radeon', 'hd', '3670']	232
['mobility', 'radeon', 'hd', '3850']	365
['mobility', 'radeon', 'hd', '3870']	547
['mobility', 'radeon', 'hd', '3870', 'x2']	564
['mobility', 'radeon', 'hd', '4200']	90
['mobility', 'radeon', 'hd', '4225']	66
['mobility', 'radeon', 'hd', '4250']	98
['mobility', 'radeon', 'hd', '4270']	92
['mobility', 'radeon', 'hd', '4330']	135
['mobility', 'radeon', 'hd', '4350']	148
['mobility', 'radeon', 'hd', '4550']	191
['mobility', 'radeon', 'hd', '4570']	195
['mobility', 'radeon', 'hd', '4650']	401
['mobility', 'radeon', 'hd', '4670']	463
['mobility', 'radeon', 'hd', '4830']	511
['mobility', 'radeon', 'hd', '4850']	866
['mobility', 'radeon', 'hd', '4870']	719
['mobility', 'radeon', 'hd', '5000']	773
['mobility', 'radeon', 'hd', '5000', 'serisi']	478
['mobility', 'radeon', 'hd', '5165']	284
['mobility', 'radeon', 'hd', '530v']	174
['mobility', 'radeon', 'hd', '540v']	188
['mobility', 'radeon', 'hd', '5430']	181
['mobility', 'radeon', 'hd', '5450']	214
['mobility', 'radeon', 'hd', '545v']	199
['mobility', 'radeon', 'hd', '5470']	236
['mobility', 'radeon', 'hd', '550v']	266
['mobility', 'radeon', 'hd', '5570']	720
['mobility', 'radeon', 'hd', '560v']	318
['mobility', 'radeon', 'hd', '5650']	555
['mobility', 'radeon', 'hd', '565v']	353
['mobility', 'radeon', 'hd', '5730']	677
['mobility', 'radeon', 'hd', '5850']	763
['mobility', 'radeon', 'hd', '5870']	1252
['mobility', 'radeon', 'hd', 'serie', '4200']	96
['mobility', 'radeon', 'x1300']	39
['mobility', 'radeon', 'x1350']	39
['mobility', 'radeon', 'x1400']	42
['mobility', 'radeon', 'x1450']	33
['mobility', 'radeon', 'x1600']	92
['mobility', 'radeon', 'x1700']	104
['mobility', 'radeon', 'x1800']	130
['mobility', 'radeon', 'x1900']	134
['mobility', 'radeon', 'x2300']	48
['mobility', 'radeon', 'x2300', 'hd']	48
['mobility', 'radeon', 'x2500']	81
['mobility', 'radeon', 'x300']	33
['mobility', 'radeon', 'x600']	50
['mobility', 'radeon', 'x600', 'se']	49
['mobility', 'radeon', 'x700']	66
['mobility', 'radeon', 'xpress', '200']	27
['mobility', 'radeon.', 'hd', '5470']	215
['mobility/radeon', '9000']	4
['mxgpu']	1826
['nforce', '750a', 'sli']	83
['nforce', '760i', 'sli']	140
['nforce', '780a', 'sli']	92
['nforce', '980a/780a', 'sli']	81
['nvidia', 'titan', 'x']	13656
['nvidia', 'titan', 'xp']	14217
['nvs', '2100m']	184
['nvs', '300']	182
['nvs', '310']	295
['nvs', '3100m']	203
['nvs', '315']	348
['nvs', '4200m']	366
['nvs', '510']	764
['nvs', '5100m']	356
['nvs', '5200m']	665
['nvs', '5400m']	792
['nvs', '810']	981
['openxt', 'display', 'driver']	30
['p106-100']	4731
['phdgd', 'ivy', '4']	374
['phdgd', 'quantic', 'c3']	116
['phdgd', 'sapphire', 'gr', 'for', 'mobile', 'intel', '965']	25
['phdgd', 'solo', '1.2.0', 'x86']	11
['phdgd', 'solo', '2', 'x64']	20
['quadro', '1000m']	752
['quadro', '1100m']	755
['quadro', '2000']	1316
['quadro', '2000', 'd']	1239
['quadro', '2000d']	1278
['quadro', '2000m']	1034
['quadro', '280', 'nvs', 'pcie']	5
['quadro', '3000m']	1463
['quadro', '400']	236
['quadro', '4000']	2051
['quadro', '4000m']	1788
['quadro', '410']	403
['quadro', '5000']	2855
['quadro', '5000m']	2059
['quadro', '500m']	664
['quadro', '5010m']	1833
['quadro', '600']	698
['quadro', '6000']	3535
['quadro', 'cx']	947
['quadro', 'fx', '1000']	34
['quadro', 'fx', '1100']	35
['quadro', 'fx', '1300']	34
['quadro', 'fx', '1400']	103
['quadro', 'fx', '1500']	155
['quadro', 'fx', '1500m']	171
['quadro', 'fx', '1600m']	213
['quadro', 'fx', '1700']	193
['quadro', 'fx', '1700m']	300
['quadro', 'fx', '1800']	579
['quadro', 'fx', '1800m']	477
['quadro', 'fx', '2500m']	217
['quadro', 'fx', '2700m']	529
['quadro', 'fx', '2800m']	656
['quadro', 'fx', '3000']	69
['quadro', 'fx', '3400/4400']	104
['quadro', 'fx', '3450']	148
['quadro', 'fx', '3450/4000', 'sdi']	134
['quadro', 'fx', '350']	85
['quadro', 'fx', '3500']	208
['quadro', 'fx', '3500m']	306
['quadro', 'fx', '350m']	62
['quadro', 'fx', '3600m']	467
['quadro', 'fx', '360m']	86
['quadro', 'fx', '370']	83
['quadro', 'fx', '370', 'lp']	108
['quadro', 'fx', '3700']	628
['quadro', 'fx', '3700m']	633
['quadro', 'fx', '370m']	93
['quadro', 'fx', '380']	148
['quadro', 'fx', '380', 'lp']	188
['quadro', 'fx', '3800']	839
['quadro', 'fx', '3800m']	803
['quadro', 'fx', '380m']	201
['quadro', 'fx', '4500']	206
['quadro', 'fx', '4600']	600
['quadro', 'fx', '4700', 'x2']	676
['quadro', 'fx', '4800']	1000
['quadro', 'fx', '500/600', 'pci']	14
['quadro', 'fx', '500/fx', '600']	7
['quadro', 'fx', '540']	80
['quadro', 'fx', '550']	63
['quadro', 'fx', '5500']	242
['quadro', 'fx', '560']	113
['quadro', 'fx', '5600']	681
['quadro', 'fx', '570']	115
['quadro', 'fx', '570m']	185
['quadro', 'fx', '580']	268
['quadro', 'fx', '5800']	1110
['quadro', 'fx', '770m']	297
['quadro', 'fx', '880m']	354
['quadro', 'fx', 'go1400']	101
['quadro', 'gp100']	12742
['quadro', 'gv100']	12727
['quadro', 'k1000m']	795
['quadro', 'k1100m']	1044
['quadro', 'k1200']	3050
['quadro', 'k2000']	1722
['quadro', 'k2000d']	1677
['quadro', 'k2000m']	1081
['quadro', 'k2100m']	1343
['quadro', 'k2200']	3599
['quadro', 'k2200m']	2717
['quadro', 'k3000m']	1747
['quadro', 'k3100m']	2077
['quadro', 'k4000']	2880
['quadro', 'k4000m']	2243
['quadro', 'k4100m']	2663
['quadro', 'k420']	829
['quadro', 'k4200']	4475
['quadro', 'k5000']	4015
['quadro', 'k5000m']	2611
['quadro', 'k5100m']	3127
['quadro', 'k510m']	651
['quadro', 'k5200']	6098
['quadro', 'k600']	823
['quadro', 'k6000']	7476
['quadro', 'k610m']	761
['quadro', 'k620']	2338
['quadro', 'k620m']	925
['quadro', 'm1000m']	2415
['quadro', 'm1200']	3081
['quadro', 'm2000']	4275
['quadro', 'm2000m']	2960
['quadro', 'm2200']	3738
['quadro', 'm3000m']	4508
['quadro', 'm4000']	6668
['quadro', 'm4000m']	4895
['quadro', 'm5000']	8503
['quadro', 'm5000m']	5751
['quadro', 'm500m']	1096
['quadro', 'm520']	1608
['quadro', 'm5500']	7915
['quadro', 'm6000']	9430
['quadro', 'm6000', '24gb']	10068
['quadro', 'm600m']	1932
['quadro', 'm620']	2810
['quadro', 'nvs', '110m']	47
['quadro', 'nvs', '120m']	46
['quadro', 'nvs', '130m']	59
['quadro', 'nvs', '135m']	57
['quadro', 'nvs', '140m']	89
['quadro', 'nvs', '150m']	92
['quadro', 'nvs', '160m']	92
['quadro', 'nvs', '210s']	23
['quadro', 'nvs', '210s', '/', 'geforce', '6150le']	20
['quadro', 'nvs', '280', 'sd']	2
['quadro', 'nvs', '285']	35
['quadro', 'nvs', '285', '128mb']	38
['quadro', 'nvs', '290']	90
['quadro', 'nvs', '295']	96
['quadro', 'nvs', '320m']	205
['quadro', 'nvs', '420']	98
['quadro', 'nvs', '440']	37
['quadro', 'nvs', '450']	91
['quadro', 'nvs', '55/280', 'pci']	6
['quadro', 'p1000']	4413
['quadro', 'p2000']	7219
['quadro', 'p2000', 'with', 'max-q', 'design']	5366
['quadro', 'p2200']	9524
['quadro', 'p3000']	5930
['quadro', 'p3200']	8099
['quadro', 'p3200', 'with', 'max-q', 'design']	8642
['quadro', 'p400']	1684
['quadro', 'p4000']	10433
['quadro', 'p4000', 'with', 'max-q', 'design']	9082
['quadro', 'p4200']	10373
['quadro', 'p4200', 'with', 'max-q', 'design']	10320
['quadro', 'p500']	1694
['quadro', 'p5000']	10042
['quadro', 'p520']	2040
['quadro', 'p5200']	9366
['quadro', 'p5200', 'with', 'max-q', 'design']	9796
['quadro', 'p600']	3210
['quadro', 'p6000']	13284
['quadro', 'p620']	3814
['quadro', 'rtx', '3000']	10278
['quadro', 'rtx', '4000']	13275
['quadro', 'rtx', '4000', 'with', 'max-q', 'design']	11268
['quadro', 'rtx', '5000']	12848
['quadro', 'rtx', '5000', '(mobile)']	12686
['quadro', 'rtx', '5000', 'with', 'max-q', 'design']	14699
['quadro', 'rtx', '6000']	14503
['quadro', 'rtx', '8000']	10980
['quadro', 't1000']	6903
['quadro', 't2000']	7634
['quadro2', 'pro']	1
['quadro4', '380', 'xgl']	6
['quadro4', '980', 'xgl']	5
['radeon', '2100']	59
['radeon', '3000']	98
['radeon', '3100']	73
['radeon', '520']	779
['radeon', '530']	1135
['radeon', '535']	1307
['radeon', '535dx']	1021
['radeon', '540']	1573
['radeon', '540x']	1879
['radeon', '6600m']	741
['radeon', '7000', '/', 'radeon', 've', 'family']	3
['radeon', '7500']	3
['radeon', '7500', 'family']	4
['radeon', '9000', 'family']	3
['radeon', '9100', 'family']	6
['radeon', '9100', 'igp']	5
['radeon', '9200']	3
['radeon', '9200', 'le', 'family']	2
['radeon', '9200', 'pro', 'family']	2
['radeon', '9200', 'se']	2
['radeon', '9250']	2
['radeon', '9500']	36
['radeon', '9500', 'pro', '/', '9700']	41
['radeon', '9550']	34
['radeon', '9550', '/', 'x1050']	29
['radeon', '9600', 'family']	25
['radeon', '9600', 'pro']	42
['radeon', '9600', 'pro', 'family']	26
['radeon', '9600', 'tx', 'family']	18
['radeon', '9600', 'xt']	35
['radeon', '9600se']	27
['radeon', '9700', 'pro']	53
['radeon', '9800', 'pro']	59
['radeon', '9800', 'se']	23
['radeon', '9800', 'xt']	53
['radeon', 'e4690']	405
['radeon', 'e6760']	973
['radeon', 'e8860']	1577
['radeon', 'hd', '2350']	76
['radeon', 'hd', '2400']	120
['radeon', 'hd', '2400', 'pci']	14
['radeon', 'hd', '2400', 'pro']	114
['radeon', 'hd', '2400', 'xt']	118
['radeon', 'hd', '2600', 'pro']	211
['radeon', 'hd', '2600', 'pro', 'agp']	110
['radeon', 'hd', '2600', 'xt']	282
['radeon', 'hd', '2900', 'gt']	292
['radeon', 'hd', '2900', 'pro']	627
['radeon', 'hd', '2900', 'xt']	659
['radeon', 'hd', '3200']	82
['radeon', 'hd', '3300']	126
['radeon', 'hd', '3450']	117
['radeon', 'hd', '3470']	142
['radeon', 'hd', '3650', 'agp']	150
['radeon', 'hd', '3670']	240
['radeon', 'hd', '3850']	529
['radeon', 'hd', '3850', 'agp']	443
['radeon', 'hd', '3850', 'x2']	822
['radeon', 'hd', '3870']	716
['radeon', 'hd', '3870', 'x2']	873
['radeon', 'hd', '4200']	111
['radeon', 'hd', '4250']	122
['radeon', 'hd', '4270']	109
['radeon', 'hd', '4290']	140
['radeon', 'hd', '4300/4500', 'serisi']	155
['radeon', 'hd', '4330']	158
['radeon', 'hd', '4350']	166
['radeon', 'hd', '4550']	235
['radeon', 'hd', '4650']	333
['radeon', 'hd', '4650', 'agp']	207
['radeon', 'hd', '4670']	544
['radeon', 'hd', '4770']	1034
['radeon', 'hd', '4810']	769
['radeon', 'hd', '4830']	946
['radeon', 'hd', '4850']	1022
['radeon', 'hd', '4850', 'x2']	1132
['radeon', 'hd', '4870']	1383
['radeon', 'hd', '4870', 'x2']	1309
['radeon', 'hd', '4890']	1543
['radeon', 'hd', '5450']	231
['radeon', 'hd', '5470']	268
['radeon', 'hd', '5550']	548
['radeon', 'hd', '5570']	713
['radeon', 'hd', '5600/5700']	955
['radeon', 'hd', '5670']	1086
['radeon', 'hd', '5750']	1455
['radeon', 'hd', '5770']	1712
['radeon', 'hd', '5830']	2055
['radeon', 'hd', '5850']	2281
['radeon', 'hd', '5870']	2621
['radeon', 'hd', '5970']	2602
['radeon', 'hd', '6230']	221
['radeon', 'hd', '6250']	119
['radeon', 'hd', '6290']	138
['radeon', 'hd', '6290m']	140
['radeon', 'hd', '6300m']	256
['radeon', 'hd', '6310']	169
['radeon', 'hd', '6320']	202
['radeon', 'hd', '6320', 'graphic']	216
['radeon', 'hd', '6320m']	198
['radeon', 'hd', '6350']	209
['radeon', 'hd', '6370d']	310
['radeon', 'hd', '6370m']	275
['radeon', 'hd', '6380g']	300
['radeon', 'hd', '6410d']	386
['radeon', 'hd', '6430m']	192
['radeon', 'hd', '6450']	276
['radeon', 'hd', '6450a']	260
['radeon', 'hd', '6470m']	312
['radeon', 'hd', '6480g']	406
['radeon', 'hd', '6490m']	377
['radeon', 'hd', '6520g']	486
['radeon', 'hd', '6530d']	513
['radeon', 'hd', '6550a']	707
['radeon', 'hd', '6550d']	642
['radeon', 'hd', '6570']	760
['radeon', 'hd', '6610m']	565
['radeon', 'hd', '6620g']	557
['radeon', 'hd', '6630m']	684
['radeon', 'hd', '6650m']	799
['radeon', 'hd', '6670']	1061
['radeon', 'hd', '6670', '+', '6670', 'dual']	646
['radeon', 'hd', '6700m']	1016
['radeon', 'hd', '6750']	1316
['radeon', 'hd', '6750m']	937
['radeon', 'hd', '6770']	1685
['radeon', 'hd', '6770m']	964
['radeon', 'hd', '6790']	2046
['radeon', 'hd', '6800m']	994
['radeon', 'hd', '6850']	2294
['radeon', 'hd', '6870']	2615
['radeon', 'hd', '6900m']	1964
['radeon', 'hd', '6950']	3219
['radeon', 'hd', '6970']	3524
['radeon', 'hd', '6970m']	2270
['radeon', 'hd', '6990']	2932
['radeon', 'hd', '7290']	140
['radeon', 'hd', '7290m']	123
['radeon', 'hd', '7310']	171
['radeon', 'hd', '7310g']	180
['radeon', 'hd', '7310m']	166
['radeon', 'hd', '7340']	207
['radeon', 'hd', '7340g']	196
['radeon', 'hd', '7340m']	221
['radeon', 'hd', '7350']	278
['radeon', 'hd', '7400g']	322
['radeon', 'hd', '7420g']	428
['radeon', 'hd', '7450']	308
['radeon', 'hd', '7450a']	288
['radeon', 'hd', '7450m']	329
['radeon', 'hd', '7470']	361
['radeon', 'hd', '7470m']	407
['radeon', 'hd', '7480d']	430
['radeon', 'hd', '7500g']	412
['radeon', 'hd', '7500g', '+', '7500m/7600m', 'dual']	616
['radeon', 'hd', '7500g', '+', '7550m', 'dual']	497
['radeon', 'hd', '7500g', '+', 'hd', '7500m/7600m', 'dual']	355
['radeon', 'hd', '7520g']	453
['radeon', 'hd', '7520g', '+', '7400m', 'dual']	486
['radeon', 'hd', '7520g', '+', '7600m', 'dual']	591
['radeon', 'hd', '7520g', '+', '7610m', 'dual']	588
['radeon', 'hd', '7520g', '+', '7650m', 'dual']	453
['radeon', 'hd', '7520g', '+', '7670m', 'dual']	523
['radeon', 'hd', '7520g', '+', '7700m', 'dual']	1060
['radeon', 'hd', '7520g', '+', '8600/8700m', 'dual']	311
['radeon', 'hd', '7520g', '+', 'hd', '7400m', 'dual']	544
['radeon', 'hd', '7520g', '+', 'hd', '7600m', 'dual']	599
['radeon', 'hd', '7520g', '+', 'hd', '7670m', 'dual']	495
['radeon', 'hd', '7520g', '+', 'hd', '8600/8700m', 'dual']	623
['radeon', 'hd', '7520g', '+', 'hd', '8750m', 'dual']	651
['radeon', 'hd', '7540d']	510
['radeon', 'hd', '7540d', '+', '6570', 'dual']	719
['radeon', 'hd', '7550m']	464
['radeon', 'hd', '7550m/7650m']	728
['radeon', 'hd', '7560d']	663
['radeon', 'hd', '7560d', '+', '6570', 'dual']	833
['radeon', 'hd', '7560d', '+', '6670', 'dual']	1130
['radeon', 'hd', '7560d', '+', '7560d', 'dual']	982
['radeon', 'hd', '7560d', '+', '7670', 'dual']	1426
['radeon', 'hd', '7560d', '+', 'hd', '7000', 'dual']	534
['radeon', 'hd', '7560d', '+', 'hd', '7700', 'dual']	1346
['radeon', 'hd', '7560d', '+', 'r5', '235', 'dual']	563
['radeon', 'hd', '7570']	980
['radeon', 'hd', '7570m']	613
['radeon', 'hd', '7570m/hd', '7670m']	699
['radeon', 'hd', '7580d']	350
['radeon', 'hd', '7600g']	481
['radeon', 'hd', '7600g', '+', '7450m', 'dual']	389
['radeon', 'hd', '7600g', '+', '7500m/7600m', 'dual']	405
['radeon', 'hd', '7600g', '+', '7550m', 'dual']	423
['radeon', 'hd', '7600g', '+', '8500m/8700m', 'dual']	469
['radeon', 'hd', '7600g', '+', 'hd', '7500m/7600m', 'dual']	555
['radeon', 'hd', '7600g', '+', 'hd', '7550m', 'dual']	509
['radeon', 'hd', '7600g', '+', 'hd', '8670m', 'dual']	543
['radeon', 'hd', '7600g', '+', 'hd', 'dual']	442
['radeon', 'hd', '7600m', '+', '7600m', 'dual']	773
['radeon', 'hd', '7610m']	632
['radeon', 'hd', '7620g']	474
['radeon', 'hd', '7620g', '+', '8600m', 'dual']	508
['radeon', 'hd', '7620g', '+', '8670m', 'dual']	577
['radeon', 'hd', '7620g', '+', 'hd', '8600m', 'dual']	442
['radeon', 'hd', '7620g', '+', 'hd', '8670m', 'dual']	507
['radeon', 'hd', '7640g']	614
['radeon', 'hd', '7640g', '+', '6400m', 'dual']	526
['radeon', 'hd', '7640g', '+', '7400m', 'dual']	637
['radeon', 'hd', '7640g', '+', '7470m', 'dual']	595
['radeon', 'hd', '7640g', '+', '7500/7600', 'dual']	627
['radeon', 'hd', '7640g', '+', '7600m', 'dual']	705
['radeon', 'hd', '7640g', '+', '7610m', 'dual']	510
['radeon', 'hd', '7640g', '+', '7670m', 'dual']	644
['radeon', 'hd', '7640g', '+', '7700m', 'dual']	690
['radeon', 'hd', '7640g', '+', '8500m', 'dual']	585
['radeon', 'hd', '7640g', '+', '8570m', 'dual']	558
['radeon', 'hd', '7640g', '+', '8600/8700m', 'dual']	688
['radeon', 'hd', '7640g', '+', '8670m', 'dual']	558
['radeon', 'hd', '7640g', '+', '8750m', 'dual']	654
['radeon', 'hd', '7640g', '+', 'hd', '7400m', 'dual']	621
['radeon', 'hd', '7640g', '+', 'hd', '7600m', 'dual']	704
['radeon', 'hd', '7640g', '+', 'hd', '7670m', 'dual']	659
